Architecture,Source Dataset,Target Dataset,Oracle
resnet50,panoptic-rcnn_fpn_139514544,cifar10,89.1
resnet101,mask-rcnn_fpn_138205316,cifar10,92.85
resnet101,faster-rcnn_fpn_137851257,cifar10,92.55
resnet101,panoptic-rcnn_fpn_139797668,cifar10,86.7
resnet50,mask-rcnn_c4_137259246,cifar10,90.45
resnet50,pirl_imagenet,cifar10,94.71000000000001
resnet50,jigsaw_imagenet22k,cifar10,86.18
resnet50,keypoint-rcnn_fpn_137261548,cifar10,80.53
resnet101,simclr_imagenet,cifar10,-1.0
resnet50,moco_imagenet,cifar10,66.11
resnet50,simclr_imagenet,cifar10,58.24
resnet50,semisup_yfcc100m,cifar10,95.88
resnet101,keypoint-rcnn_fpn_138363331,cifar10,87.58
resnet50,faster-rcnn_c4_voc_142202221,cifar10,90.59
resnet50,retinanet_190397773,cifar10,91.25
resnet50,semisup_instagram,cifar10,96.17999999999999
resnet50,mask-rcnn_fpn_cityscapes_142423278,cifar10,88.24
resnet50,mask-rcnn_fpn_lvis_144219072,cifar10,89.25
resnet50,mask-rcnn_fpn_137260431,cifar10,90.83
resnet50,supervised_places205,cifar10,89.34
resnet50,retinanet_190397829,cifar10,90.94
resnet101,mask-rcnn_c4_138363239,cifar10,92.32000000000001
resnet50,deepclusterv2_imagenet,cifar10,64.19
resnet50,keypoint-rcnn_fpn_137849621,cifar10,83.87
resnet50,faster-rcnn_c4_137849393,cifar10,90.53
resnet50,rotnet_imagenet22k,cifar10,92.03
resnet50,swav_imagenet,cifar10,60.129999999999995
resnet50,faster-rcnn_fpn_137257794,cifar10,90.61
resnet50,faster-rcnn_fpn_137849458,cifar10,90.42
resnet50,faster-rcnn_c4_137257644,cifar10,90.38000000000001
resnet50,npid_imagenet,cifar10,57.13
resnet101,retinanet_190397697,cifar10,92.53
resnet101,panoptic-rcnn_fpn_139514519,cifar10,92.04
resnet50,mask-rcnn_c4_137849525,cifar10,90.49000000000001
resnet101,faster-rcnn_c4_138204752,cifar10,92.35
resnet50,mask-rcnn_fpn_137849600,cifar10,90.38000000000001
